threshold,speech_recall,hazard_macro_recall,hazard_macro_recall_loss,hazard_accuracy,hazard_false_speech_rate,speech_correct,speech_total,hazard_correct,hazard_total,hazards_suppressed_as_speech,passes_speech_gate,passes_hazard_gate,passes_loss_gate,passes_all_gates
0.21,1.0,0.8585185185185186,0.02962962958148141,0.84251968503937,0.05905511811023622,24,24,214,254,15,True,True,True,True
0.22,0.9583333333333334,0.8618518518518519,0.02629629624814811,0.8464566929133859,0.051181102362204724,23,24,215,254,13,True,True,True,True
0.23,0.9583333333333334,0.8618518518518519,0.02629629624814811,0.8464566929133859,0.047244094488188976,23,24,215,254,12,True,True,True,True
0.24,0.9583333333333334,0.8718518518518519,0.0162962962481481,0.8503937007874016,0.04330708661417323,23,24,216,254,11,True,True,True,True
0.25,0.9583333333333334,0.8751851851851852,0.012962962914814802,0.8543307086614174,0.03937007874015748,23,24,217,254,10,True,True,True,True
0.26,0.9583333333333334,0.8751851851851852,0.012962962914814802,0.8543307086614174,0.03937007874015748,23,24,217,254,10,True,True,True,True
0.27,0.9583333333333334,0.8785185185185185,0.009629629581481502,0.8582677165354331,0.03543307086614173,23,24,218,254,9,True,True,True,True
0.28,0.9583333333333334,0.8785185185185185,0.009629629581481502,0.8582677165354331,0.03543307086614173,23,24,218,254,9,True,True,True,True
0.29,0.9583333333333334,0.8818518518518518,0.006296296248148203,0.8622047244094488,0.031496062992125984,23,24,219,254,8,True,True,True,True
0.3,0.9583333333333334,0.8818518518518518,0.006296296248148203,0.8622047244094488,0.031496062992125984,23,24,219,254,8,True,True,True,True
0.31,0.9583333333333334,0.8818518518518518,0.006296296248148203,0.8622047244094488,0.031496062992125984,23,24,219,254,8,True,True,True,True
0.32,0.9583333333333334,0.8851851851851851,0.002962962914814904,0.8661417322834646,0.027559055118110236,23,24,220,254,7,True,True,True,True
0.33,0.9583333333333334,0.8851851851851851,0.002962962914814904,0.8661417322834646,0.027559055118110236,23,24,220,254,7,True,True,True,True
0.34,0.9166666666666666,0.8885185185185186,-0.0003703704185186174,0.8700787401574803,0.023622047244094488,22,24,221,254,6,True,True,True,True
0.35,0.9166666666666666,0.8885185185185186,-0.0003703704185186174,0.8700787401574803,0.023622047244094488,22,24,221,254,6,True,True,True,True
0.36,0.9166666666666666,0.8885185185185186,-0.0003703704185186174,0.8700787401574803,0.023622047244094488,22,24,221,254,6,True,True,True,True
0.37,0.9166666666666666,0.8885185185185186,-0.0003703704185186174,0.8700787401574803,0.023622047244094488,22,24,221,254,6,True,True,True,True
0.38,0.9166666666666666,0.8918518518518519,-0.0037037037518519167,0.8740157480314961,0.01968503937007874,22,24,222,254,5,True,True,True,True
0.39,0.8333333333333334,0.8955555555555555,-0.00740740745555557,0.8779527559055118,0.015748031496062992,20,24,223,254,4,True,True,True,True
0.4,0.8333333333333334,0.8955555555555555,-0.00740740745555557,0.8779527559055118,0.011811023622047244,20,24,223,254,3,True,True,True,True
0.41,0.8333333333333334,0.8955555555555555,-0.00740740745555557,0.8779527559055118,0.011811023622047244,20,24,223,254,3,True,True,True,True
0.42,0.7916666666666666,0.8955555555555555,-0.00740740745555557,0.8779527559055118,0.011811023622047244,19,24,223,254,3,False,True,True,False
0.43,0.7916666666666666,0.8955555555555555,-0.00740740745555557,0.8779527559055118,0.011811023622047244,19,24,223,254,3,False,True,True,False
0.44,0.7916666666666666,0.8955555555555555,-0.00740740745555557,0.8779527559055118,0.011811023622047244,19,24,223,254,3,False,True,True,False
0.45,0.7916666666666666,0.8955555555555555,-0.00740740745555557,0.8779527559055118,0.011811023622047244,19,24,223,254,3,False,True,True,False
0.46,0.7916666666666666,0.8955555555555555,-0.00740740745555557,0.8779527559055118,0.011811023622047244,19,24,223,254,3,False,True,True,False
0.47,0.7916666666666666,0.8955555555555555,-0.00740740745555557,0.8779527559055118,0.011811023622047244,19,24,223,254,3,False,True,True,False
0.48,0.7916666666666666,0.8955555555555555,-0.00740740745555557,0.8779527559055118,0.011811023622047244,19,24,223,254,3,False,True,True,False
