hazard_threshold,hazard_detection_recall,hazard_detection_macro_recall,minimum_hazard_class_recall,background_rejection_rate,background_false_alert_rate,speech_rejection_rate,cascade_hazard_exact_accuracy,cascade_hazard_exact_macro_recall,cascade_overall_accuracy
0.25,0.9960629921259843,0.9966666666666667,0.9833333333333333,0.10833333333333334,0.8916666666666667,0.3333333333333333,0.8818897637795275,0.8848148148148148,0.6336898395721925
0.255,0.9960629921259843,0.9966666666666667,0.9833333333333333,0.11666666666666667,0.8833333333333333,0.375,0.8818897637795275,0.8848148148148148,0.6363636363636364
0.26,0.9960629921259843,0.9966666666666667,0.9833333333333333,0.11666666666666667,0.8833333333333333,0.375,0.8818897637795275,0.8848148148148148,0.6363636363636364
0.265,0.9960629921259843,0.9966666666666667,0.9833333333333333,0.11666666666666667,0.8833333333333333,0.375,0.8818897637795275,0.8848148148148148,0.6363636363636364
0.27,0.9960629921259843,0.9966666666666667,0.9833333333333333,0.11666666666666667,0.8833333333333333,0.375,0.8818897637795275,0.8848148148148148,0.6363636363636364
0.275,0.9960629921259843,0.9966666666666667,0.9833333333333333,0.125,0.875,0.4166666666666667,0.8818897637795275,0.8848148148148148,0.6390374331550802
0.28,0.9960629921259843,0.9966666666666667,0.9833333333333333,0.125,0.875,0.4166666666666667,0.8818897637795275,0.8848148148148148,0.6390374331550802
0.285,0.9960629921259843,0.9966666666666667,0.9833333333333333,0.13333333333333333,0.8666666666666667,0.4583333333333333,0.8818897637795275,0.8848148148148148,0.6417112299465241
0.29,0.9960629921259843,0.9966666666666667,0.9833333333333333,0.13333333333333333,0.8666666666666667,0.4583333333333333,0.8818897637795275,0.8848148148148148,0.6417112299465241
0.295,0.9921259842519685,0.9933333333333334,0.9666666666666667,0.13333333333333333,0.8666666666666667,0.4583333333333333,0.8779527559055118,0.8814814814814815,0.6390374331550802
0.3,0.9921259842519685,0.9933333333333334,0.9666666666666667,0.13333333333333333,0.8666666666666667,0.4583333333333333,0.8779527559055118,0.8814814814814815,0.6390374331550802
0.305,0.9881889763779528,0.99,0.9666666666666667,0.14166666666666666,0.8583333333333333,0.4583333333333333,0.8740157480314961,0.8781481481481481,0.6390374331550802
0.31,0.9881889763779528,0.99,0.9666666666666667,0.14166666666666666,0.8583333333333333,0.4583333333333333,0.8740157480314961,0.8781481481481481,0.6390374331550802
0.315,0.9881889763779528,0.99,0.9666666666666667,0.14166666666666666,0.8583333333333333,0.4583333333333333,0.8740157480314961,0.8781481481481481,0.6390374331550802
0.32,0.9881889763779528,0.99,0.9666666666666667,0.14166666666666666,0.8583333333333333,0.4583333333333333,0.8740157480314961,0.8781481481481481,0.6390374331550802
0.325,0.9881889763779528,0.99,0.9666666666666667,0.15,0.85,0.4583333333333333,0.8740157480314961,0.8781481481481481,0.6417112299465241
0.33,0.9881889763779528,0.99,0.9666666666666667,0.15833333333333333,0.8416666666666667,0.5,0.8740157480314961,0.8781481481481481,0.6443850267379679
0.335,0.984251968503937,0.9866666666666667,0.95,0.16666666666666666,0.8333333333333334,0.5,0.8700787401574803,0.8748148148148148,0.6443850267379679
0.34,0.9763779527559056,0.9800000000000001,0.9333333333333333,0.18333333333333332,0.8166666666666667,0.5,0.8622047244094488,0.868148148148148,0.6443850267379679
0.345,0.9763779527559056,0.9800000000000001,0.9333333333333333,0.2,0.8,0.5,0.8622047244094488,0.868148148148148,0.6497326203208557
0.35,0.9763779527559056,0.9800000000000001,0.9333333333333333,0.20833333333333334,0.7916666666666666,0.5,0.8622047244094488,0.868148148148148,0.6524064171122995
0.355,0.9763779527559056,0.9800000000000001,0.9333333333333333,0.21666666666666667,0.7833333333333333,0.5,0.8622047244094488,0.868148148148148,0.6550802139037433
0.36,0.9724409448818898,0.9766666666666666,0.9166666666666666,0.225,0.775,0.5,0.8582677165354331,0.8648148148148149,0.6550802139037433
0.365,0.9724409448818898,0.9766666666666666,0.9166666666666666,0.23333333333333334,0.7666666666666667,0.5,0.8582677165354331,0.8648148148148149,0.6577540106951871
0.37,0.9724409448818898,0.9766666666666666,0.9166666666666666,0.23333333333333334,0.7666666666666667,0.5,0.8582677165354331,0.8648148148148149,0.6577540106951871
0.375,0.9724409448818898,0.9766666666666666,0.9166666666666666,0.23333333333333334,0.7666666666666667,0.5,0.8582677165354331,0.8648148148148149,0.6577540106951871
0.38,0.9724409448818898,0.9766666666666666,0.9166666666666666,0.23333333333333334,0.7666666666666667,0.5,0.8582677165354331,0.8648148148148149,0.6577540106951871
0.385,0.9645669291338582,0.97,0.9,0.24166666666666667,0.7583333333333333,0.5,0.8503937007874016,0.8581481481481482,0.6550802139037433
0.39,0.952755905511811,0.96,0.8833333333333333,0.24166666666666667,0.7583333333333333,0.5,0.8385826771653543,0.8481481481481481,0.6470588235294118
0.395,0.9448818897637795,0.9533333333333334,0.8666666666666667,0.24166666666666667,0.7583333333333333,0.5,0.8346456692913385,0.8448148148148148,0.6443850267379679
0.4,0.9409448818897638,0.95,0.8666666666666667,0.24166666666666667,0.7583333333333333,0.5,0.8307086614173228,0.8414814814814815,0.6417112299465241
0.405,0.9409448818897638,0.95,0.8666666666666667,0.25833333333333336,0.7416666666666667,0.5,0.8307086614173228,0.8414814814814815,0.6470588235294118
0.41,0.9409448818897638,0.95,0.8666666666666667,0.25833333333333336,0.7416666666666667,0.5,0.8307086614173228,0.8414814814814815,0.6470588235294118
0.415,0.937007874015748,0.9466666666666667,0.8666666666666667,0.2833333333333333,0.7166666666666667,0.5,0.8267716535433071,0.8381481481481481,0.6524064171122995
0.42,0.937007874015748,0.9466666666666667,0.8666666666666667,0.3,0.7,0.5416666666666666,0.8267716535433071,0.8381481481481481,0.6577540106951871
0.425,0.9291338582677166,0.9400000000000001,0.85,0.3,0.7,0.5416666666666666,0.8228346456692913,0.8348148148148148,0.6550802139037433
0.43,0.9251968503937008,0.9366666666666668,0.8333333333333334,0.3,0.7,0.5416666666666666,0.8188976377952756,0.8314814814814815,0.6524064171122995
0.435,0.9173228346456693,0.9233333333333332,0.8166666666666667,0.30833333333333335,0.6916666666666667,0.5416666666666666,0.8149606299212598,0.8281481481481482,0.6524064171122995
0.44,0.9173228346456693,0.9233333333333332,0.8166666666666667,0.325,0.675,0.5416666666666666,0.8149606299212598,0.8281481481481482,0.6577540106951871
0.445,0.9094488188976378,0.9166666666666666,0.8,0.35833333333333334,0.6416666666666667,0.5416666666666666,0.8070866141732284,0.8214814814814815,0.6631016042780749
0.45,0.9015748031496063,0.9099999999999999,0.7833333333333333,0.36666666666666664,0.6333333333333333,0.5833333333333334,0.7992125984251969,0.8148148148148149,0.660427807486631
0.455,0.9015748031496063,0.9099999999999999,0.7833333333333333,0.375,0.625,0.5833333333333334,0.7992125984251969,0.8148148148148149,0.6631016042780749
0.46,0.9015748031496063,0.9099999999999999,0.7833333333333333,0.375,0.625,0.5833333333333334,0.7992125984251969,0.8148148148148149,0.6631016042780749
0.465,0.8976377952755905,0.9066666666666666,0.7833333333333333,0.38333333333333336,0.6166666666666667,0.5833333333333334,0.7992125984251969,0.8148148148148149,0.6657754010695187
0.47,0.8976377952755905,0.9066666666666666,0.7833333333333333,0.38333333333333336,0.6166666666666667,0.5833333333333334,0.7992125984251969,0.8148148148148149,0.6657754010695187
0.475,0.8976377952755905,0.9066666666666666,0.7833333333333333,0.4083333333333333,0.5916666666666667,0.625,0.7992125984251969,0.8148148148148149,0.6737967914438503
0.48,0.8976377952755905,0.9066666666666666,0.7833333333333333,0.4166666666666667,0.5833333333333334,0.625,0.7992125984251969,0.8148148148148149,0.6764705882352942
0.485,0.8937007874015748,0.9033333333333333,0.7833333333333333,0.425,0.575,0.6666666666666666,0.7952755905511811,0.8114814814814814,0.6764705882352942
