hazard_threshold,hazard_detection_recall,hazard_detection_macro_recall,minimum_hazard_class_recall,background_rejection_rate,background_false_alert_rate,speech_rejection_rate,cascade_hazard_exact_accuracy,cascade_hazard_exact_macro_recall,cascade_overall_accuracy
0.725,0.7087912087912088,0.7064814814814815,0.5740740740740741,0.8,0.2,1.0,0.6813186813186813,0.6827777777777778,0.7284768211920529
0.73,0.6923076923076923,0.6948148148148148,0.5740740740740741,0.8,0.2,1.0,0.6648351648351648,0.671111111111111,0.7185430463576159
0.735,0.6923076923076923,0.6948148148148148,0.5740740740740741,0.8,0.2,1.0,0.6648351648351648,0.671111111111111,0.7185430463576159
0.74,0.6758241758241759,0.6627777777777777,0.5555555555555556,0.8166666666666667,0.18333333333333332,1.0,0.6483516483516484,0.6390740740740741,0.7152317880794702
0.745,0.6648351648351648,0.6544444444444444,0.5555555555555556,0.8166666666666667,0.18333333333333332,1.0,0.6373626373626373,0.6307407407407408,0.7086092715231788
0.75,0.6593406593406593,0.6444444444444445,0.5555555555555556,0.8166666666666667,0.18333333333333332,1.0,0.6318681318681318,0.6207407407407407,0.7052980132450332
0.755,0.6318681318681318,0.6270370370370371,0.5185185185185185,0.8166666666666667,0.18333333333333332,1.0,0.6043956043956044,0.6033333333333333,0.6887417218543046
0.76,0.6318681318681318,0.6270370370370371,0.5185185185185185,0.825,0.175,1.0,0.6043956043956044,0.6033333333333333,0.6920529801324503
0.765,0.6318681318681318,0.6270370370370371,0.5185185185185185,0.825,0.175,1.0,0.6043956043956044,0.6033333333333333,0.6920529801324503
0.77,0.6043956043956044,0.585,0.5,0.825,0.175,1.0,0.5769230769230769,0.5612962962962962,0.6754966887417219
0.775,0.5989010989010989,0.5816666666666667,0.5,0.8416666666666667,0.15833333333333333,1.0,0.5714285714285714,0.5579629629629629,0.6788079470198676
0.78,0.5879120879120879,0.5746296296296296,0.48148148148148145,0.8416666666666667,0.15833333333333333,1.0,0.5604395604395604,0.5509259259259259,0.6721854304635762
0.785,0.554945054945055,0.5242592592592592,0.375,0.85,0.15,1.0,0.5274725274725275,0.5005555555555555,0.6556291390728477
0.79,0.532967032967033,0.5005555555555555,0.375,0.85,0.15,1.0,0.5054945054945055,0.4768518518518519,0.6423841059602649
0.795,0.521978021978022,0.48685185185185187,0.375,0.85,0.15,1.0,0.4945054945054945,0.46314814814814814,0.6357615894039735
0.8,0.5164835164835165,0.48351851851851857,0.375,0.8583333333333333,0.14166666666666666,1.0,0.489010989010989,0.4598148148148148,0.6357615894039735
0.805,0.5164835164835165,0.48351851851851857,0.375,0.8583333333333333,0.14166666666666666,1.0,0.489010989010989,0.4598148148148148,0.6357615894039735
0.81,0.5054945054945055,0.4768518518518518,0.375,0.8583333333333333,0.14166666666666666,1.0,0.47802197802197804,0.4531481481481482,0.6291390728476821
0.815,0.5,0.4735185185185185,0.375,0.8666666666666667,0.13333333333333333,1.0,0.4725274725274725,0.44981481481481483,0.6291390728476821
0.82,0.5,0.4735185185185185,0.375,0.875,0.125,1.0,0.4725274725274725,0.44981481481481483,0.6324503311258278
0.825,0.4725274725274725,0.45407407407407413,0.37037037037037035,0.9,0.1,1.0,0.45054945054945056,0.434074074074074,0.6291390728476821
0.83,0.44505494505494503,0.434074074074074,0.37037037037037035,0.9,0.1,1.0,0.4230769230769231,0.4140740740740741,0.6125827814569537
0.835,0.4230769230769231,0.41907407407407404,0.37037037037037035,0.9,0.1,1.0,0.4010989010989011,0.399074074074074,0.5993377483443708
0.84,0.4010989010989011,0.4053703703703704,0.35185185185185186,0.9,0.1,1.0,0.3791208791208791,0.38537037037037036,0.5860927152317881
0.845,0.38461538461538464,0.3953703703703703,0.35,0.9083333333333333,0.09166666666666666,1.0,0.3626373626373626,0.3753703703703703,0.5794701986754967
0.85,0.37362637362637363,0.38870370370370366,0.31666666666666665,0.9166666666666666,0.08333333333333333,1.0,0.3516483516483517,0.36870370370370364,0.5761589403973509
0.855,0.36813186813186816,0.38499999999999995,0.31666666666666665,0.9166666666666666,0.08333333333333333,1.0,0.34615384615384615,0.36499999999999994,0.5728476821192053
0.86,0.34065934065934067,0.3446296296296296,0.25,0.9166666666666666,0.08333333333333333,1.0,0.31868131868131866,0.3246296296296296,0.5562913907284768
0.865,0.33516483516483514,0.3412962962962963,0.25,0.925,0.075,1.0,0.3131868131868132,0.3212962962962963,0.5562913907284768
