class,threshold,target_trials_passed,class_false_alert_ood_trials,class_false_alert_speech_trials,class_confusion_other_hazard_trials,overall_positive_passed,overall_ood_passed
gunshot_gunfire,0.81,0,0,0,0,13,3
gunshot_gunfire,0.82,0,0,0,0,13,3
gunshot_gunfire,0.83,0,0,0,0,13,3
gunshot_gunfire,0.84,0,0,0,0,13,3
gunshot_gunfire,0.85,0,0,0,0,13,3
gunshot_gunfire,0.86,0,0,0,0,13,3
gunshot_gunfire,0.87,0,0,0,0,13,3
gunshot_gunfire,0.88,0,0,0,0,13,3
gunshot_gunfire,0.89,0,0,0,0,13,3
gunshot_gunfire,0.9,0,0,0,0,13,3
gunshot_gunfire,0.91,0,0,0,0,13,3
gunshot_gunfire,0.92,0,0,0,0,13,3
gunshot_gunfire,0.93,0,0,0,0,13,3
gunshot_gunfire,0.94,0,0,0,0,13,3
gunshot_gunfire,0.95,0,0,0,0,13,3
gunshot_gunfire,0.96,0,0,0,0,13,3
gunshot_gunfire,0.97,0,0,0,0,13,3
gunshot_gunfire,0.98,0,0,0,0,13,3
gunshot_gunfire,0.99,0,0,0,0,13,3
gunshot_gunfire,1.0,0,0,0,0,13,3
siren,0.2,5,4,4,11,13,1
siren,0.21,5,4,4,11,13,1
siren,0.22,5,4,4,11,13,1
siren,0.23,5,4,4,11,13,1
siren,0.24,5,4,4,11,13,1
siren,0.25,5,4,4,11,13,1
siren,0.26,5,4,4,11,13,1
siren,0.27,5,4,4,11,13,1
siren,0.28,5,4,4,11,13,1
siren,0.29,5,4,4,11,13,1
siren,0.3,5,4,4,11,13,1
siren,0.31,5,3,4,11,13,2
siren,0.32,5,3,4,11,13,2
siren,0.33,5,3,4,10,13,2
siren,0.34,5,3,4,9,13,2
siren,0.35,5,3,4,8,13,2
siren,0.36,5,3,4,8,13,2
siren,0.37,5,3,4,8,13,2
siren,0.38,5,3,4,8,13,2
siren,0.39,5,3,4,8,13,2
siren,0.4,5,3,4,8,13,2
siren,0.41,5,3,4,8,13,2
siren,0.42,5,3,4,8,13,2
siren,0.43,5,3,4,7,13,2
siren,0.44,5,3,4,7,13,2
siren,0.45,5,3,4,6,13,2
siren,0.46,5,3,4,5,13,2
siren,0.47,5,3,4,4,13,2
siren,0.48,5,3,4,4,13,2
siren,0.49,5,3,4,4,13,2
siren,0.5,5,3,4,4,13,2
siren,0.51,5,2,4,4,13,3
siren,0.52,5,2,4,4,13,3
siren,0.53,5,2,4,4,13,3
siren,0.54,5,2,4,4,13,3
siren,0.55,5,2,4,4,13,3
siren,0.56,5,2,4,4,13,3
siren,0.57,5,2,4,4,13,3
siren,0.58,5,2,4,4,13,3
siren,0.59,5,2,4,3,13,3
siren,0.6,5,2,4,2,13,3
siren,0.61,5,2,4,2,13,3
siren,0.62,5,2,4,2,13,3
siren,0.63,5,2,4,1,13,3
siren,0.64,5,2,4,1,13,3
siren,0.65,5,2,3,1,13,3
