hazard_threshold,hazard_detection_recall,hazard_detection_macro_recall,minimum_hazard_class_recall,background_rejection_rate,background_false_alert_rate,speech_rejection_rate,cascade_hazard_exact_accuracy,cascade_hazard_exact_macro_recall,cascade_overall_accuracy
0.245,0.989010989010989,0.9912962962962963,0.975,0.3416666666666667,0.6583333333333333,0.625,0.9505494505494505,0.9588888888888889,0.7086092715231788
0.25,0.989010989010989,0.9912962962962963,0.975,0.35,0.65,0.625,0.9505494505494505,0.9588888888888889,0.7119205298013245
0.255,0.989010989010989,0.9912962962962963,0.975,0.35833333333333334,0.6416666666666667,0.6666666666666666,0.9505494505494505,0.9588888888888889,0.7152317880794702
0.26,0.989010989010989,0.9912962962962963,0.975,0.35833333333333334,0.6416666666666667,0.6666666666666666,0.9505494505494505,0.9588888888888889,0.7152317880794702
0.265,0.989010989010989,0.9912962962962963,0.975,0.38333333333333336,0.6166666666666667,0.6666666666666666,0.9505494505494505,0.9588888888888889,0.7251655629139073
0.27,0.989010989010989,0.9912962962962963,0.975,0.39166666666666666,0.6083333333333333,0.7083333333333334,0.9505494505494505,0.9588888888888889,0.7284768211920529
0.275,0.989010989010989,0.9912962962962963,0.975,0.39166666666666666,0.6083333333333333,0.7083333333333334,0.9505494505494505,0.9588888888888889,0.7284768211920529
0.28,0.989010989010989,0.9912962962962963,0.975,0.4166666666666667,0.5833333333333334,0.75,0.9505494505494505,0.9588888888888889,0.7384105960264901
0.285,0.989010989010989,0.9912962962962963,0.975,0.4166666666666667,0.5833333333333334,0.75,0.9505494505494505,0.9588888888888889,0.7384105960264901
0.29,0.989010989010989,0.9912962962962963,0.975,0.425,0.575,0.75,0.9505494505494505,0.9588888888888889,0.7417218543046358
0.295,0.9835164835164835,0.9875925925925927,0.9629629629629629,0.425,0.575,0.75,0.945054945054945,0.9551851851851852,0.7384105960264901
0.3,0.9835164835164835,0.9875925925925927,0.9629629629629629,0.43333333333333335,0.5666666666666667,0.75,0.945054945054945,0.9551851851851852,0.7417218543046358
0.305,0.978021978021978,0.9825925925925926,0.95,0.44166666666666665,0.5583333333333333,0.75,0.9395604395604396,0.9501851851851851,0.7417218543046358
0.31,0.978021978021978,0.9825925925925926,0.95,0.44166666666666665,0.5583333333333333,0.75,0.9395604395604396,0.9501851851851851,0.7417218543046358
0.315,0.978021978021978,0.9825925925925926,0.95,0.44166666666666665,0.5583333333333333,0.75,0.9395604395604396,0.9501851851851851,0.7417218543046358
0.32,0.978021978021978,0.9825925925925926,0.95,0.44166666666666665,0.5583333333333333,0.75,0.9395604395604396,0.9501851851851851,0.7417218543046358
0.325,0.978021978021978,0.9825925925925926,0.95,0.44166666666666665,0.5583333333333333,0.75,0.9395604395604396,0.9501851851851851,0.7417218543046358
0.33,0.9725274725274725,0.9575925925925926,0.875,0.44166666666666665,0.5583333333333333,0.75,0.9340659340659341,0.9251851851851851,0.7384105960264901
0.335,0.967032967032967,0.9525925925925925,0.875,0.45,0.55,0.75,0.9285714285714286,0.9201851851851852,0.7384105960264901
0.34,0.967032967032967,0.9525925925925925,0.875,0.4583333333333333,0.5416666666666666,0.7916666666666666,0.9285714285714286,0.9201851851851852,0.7417218543046358
0.345,0.967032967032967,0.9525925925925925,0.875,0.4583333333333333,0.5416666666666666,0.7916666666666666,0.9285714285714286,0.9201851851851852,0.7417218543046358
0.35,0.967032967032967,0.9525925925925925,0.875,0.4666666666666667,0.5333333333333333,0.7916666666666666,0.9285714285714286,0.9201851851851852,0.7450331125827815
0.355,0.9615384615384616,0.9488888888888889,0.875,0.48333333333333334,0.5166666666666667,0.7916666666666666,0.9230769230769231,0.9164814814814815,0.7483443708609272
0.36,0.9615384615384616,0.9488888888888889,0.875,0.48333333333333334,0.5166666666666667,0.7916666666666666,0.9230769230769231,0.9164814814814815,0.7483443708609272
0.365,0.9615384615384616,0.9488888888888889,0.875,0.48333333333333334,0.5166666666666667,0.7916666666666666,0.9230769230769231,0.9164814814814815,0.7483443708609272
0.37,0.9615384615384616,0.9488888888888889,0.875,0.5,0.5,0.7916666666666666,0.9230769230769231,0.9164814814814815,0.7549668874172185
0.375,0.9615384615384616,0.9488888888888889,0.875,0.5083333333333333,0.49166666666666664,0.7916666666666666,0.9230769230769231,0.9164814814814815,0.7582781456953642
